{first_ts=16000, last_ts=18000, value=16.333333333333332, key=337}
{first_ts=23000, last_ts=25000, value=20.666666666666668, key=542}
{first_ts=33000, last_ts=34000, value=30.5, key=157}
{first_ts=36000, last_ts=37000, value=34.0, key=241}
{first_ts=36000, last_ts=37000, value=33.0, key=300}
{first_ts=36000, last_ts=37000, value=37.0, key=375}
{first_ts=43000, last_ts=44000, value=30.5, key=410}
{first_ts=37000, last_ts=44000, value=21.625, key=538}
{first_ts=44000, last_ts=45000, value=35.0, key=460}
{first_ts=44000, last_ts=45000, value=30.5, key=450}
{first_ts=46000, last_ts=47000, value=29.0, key=418}
{first_ts=47000, last_ts=48000, value=36.5, key=546}
{first_ts=47000, last_ts=48000, value=35.5, key=467}
{first_ts=48000, last_ts=49000, value=32.0, key=538}
{first_ts=48000, last_ts=49000, value=31.5, key=540}
{first_ts=49000, last_ts=50000, value=30.0, key=301}
{first_ts=52000, last_ts=53000, value=32.5, key=535}
{first_ts=53000, last_ts=54000, value=33.0, key=599}
{first_ts=53000, last_ts=54000, value=31.5, key=697}
{first_ts=54000, last_ts=55000, value=34.5, key=610}
{first_ts=54000, last_ts=55000, value=30.5, key=342}
{first_ts=56000, last_ts=58000, value=28.333333333333332, key=542}
{first_ts=58000, last_ts=59000, value=30.5, key=784}
{first_ts=58000, last_ts=59000, value=33.0, key=846}
{first_ts=59000, last_ts=60000, value=29.0, key=684}
{first_ts=59000, last_ts=60000, value=32.5, key=862}
{first_ts=60000, last_ts=61000, value=29.5, key=782}
{first_ts=60000, last_ts=61000, value=35.0, key=768}
{first_ts=61000, last_ts=62000, value=31.5, key=878}
{first_ts=61000, last_ts=62000, value=31.5, key=779}
{first_ts=62000, last_ts=63000, value=28.5, key=795}
{first_ts=64000, last_ts=65000, value=37.5, key=992}
{first_ts=64000, last_ts=65000, value=32.5, key=974}
{first_ts=65000, last_ts=66000, value=32.0, key=947}
{first_ts=59000, last_ts=67000, value=23.555555555555557, key=610}
{first_ts=67000, last_ts=72000, value=28.833333333333332, key=718}
{first_ts=38000, last_ts=73000, value=18.75, key=944}
{first_ts=72000, last_ts=73000, value=19.5, key=1135}
{first_ts=73000, last_ts=74000, value=32.0, key=901}
{first_ts=73000, last_ts=74000, value=24.5, key=1548}
{first_ts=75000, last_ts=76000, value=18.5, key=1619}
{first_ts=74000, last_ts=78000, value=19.2, key=1246}
{first_ts=78000, last_ts=79000, value=30.5, key=1230}
{first_ts=78000, last_ts=79000, value=30.5, key=1228}
{first_ts=73000, last_ts=80000, value=19.875, key=1656}
{first_ts=79000, last_ts=80000, value=32.5, key=1275}
{first_ts=80000, last_ts=81000, value=31.5, key=1290}
{first_ts=80000, last_ts=81000, value=34.0, key=1262}
{first_ts=80000, last_ts=83000, value=36.25, key=1207}
{first_ts=83000, last_ts=84000, value=28.0, key=1170}
{first_ts=19000, last_ts=22000, value=18.75, key=420}
{first_ts=23000, last_ts=25000, value=25.0, key=331}
{first_ts=23000, last_ts=25000, value=21.666666666666668, key=553}
{first_ts=26000, last_ts=29000, value=18.5, key=420}
{first_ts=28000, last_ts=29000, value=37.0, key=163}
{first_ts=28000, last_ts=29000, value=34.5, key=115}
{first_ts=30000, last_ts=31000, value=31.5, key=106}
{first_ts=31000, last_ts=32000, value=36.5, key=255}
{first_ts=33000, last_ts=34000, value=32.5, key=208}
{first_ts=28000, last_ts=34000, value=19.571428571428573, key=607}
{first_ts=31000, last_ts=36000, value=18.5, key=592}
{first_ts=39000, last_ts=40000, value=37.5, key=388}
{first_ts=9000, last_ts=41000, value=23.242424242424242, key=213}
{first_ts=40000, last_ts=42000, value=16.666666666666668, key=636}
{first_ts=41000, last_ts=42000, value=30.5, key=303}
{first_ts=38000, last_ts=42000, value=35.6, key=383}
{first_ts=9000, last_ts=43000, value=18.771428571428572, key=305}
{first_ts=42000, last_ts=43000, value=32.5, key=236}
{first_ts=41000, last_ts=44000, value=23.25, key=553}
{first_ts=44000, last_ts=45000, value=30.5, key=441}
{first_ts=45000, last_ts=48000, value=26.0, key=785}
{first_ts=48000, last_ts=49000, value=30.5, key=428}
{first_ts=49000, last_ts=50000, value=28.5, key=503}
{first_ts=49000, last_ts=50000, value=31.5, key=553}
{first_ts=49000, last_ts=50000, value=31.5, key=600}
{first_ts=54000, last_ts=55000, value=28.5, key=519}
{first_ts=55000, last_ts=56000, value=31.5, key=477}
{first_ts=54000, last_ts=56000, value=27.333333333333332, key=1097}
{first_ts=55000, last_ts=56000, value=30.5, key=561}
{first_ts=55000, last_ts=56000, value=33.0, key=762}
{first_ts=55000, last_ts=56000, value=31.0, key=604}
{first_ts=56000, last_ts=57000, value=32.5, key=592}
{first_ts=56000, last_ts=57000, value=32.0, key=636}
{first_ts=56000, last_ts=57000, value=28.5, key=692}
{first_ts=56000, last_ts=57000, value=23.5, key=824}
{first_ts=56000, last_ts=57000, value=30.5, key=735}
{first_ts=57000, last_ts=58000, value=28.0, key=568}
{first_ts=59000, last_ts=60000, value=28.5, key=749}
{first_ts=59000, last_ts=60000, value=25.5, key=667}
{first_ts=57000, last_ts=60000, value=26.75, key=785}
{first_ts=61000, last_ts=62000, value=29.5, key=785}
{first_ts=62000, last_ts=64000, value=27.666666666666668, key=1269}
{first_ts=58000, last_ts=64000, value=27.857142857142858, key=824}
{first_ts=64000, last_ts=65000, value=32.5, key=964}
{first_ts=55000, last_ts=65000, value=15.545454545454545, key=1164}
{first_ts=27000, last_ts=68000, value=18.976190476190474, key=726}
{first_ts=68000, last_ts=69000, value=25.5, key=906}
{first_ts=67000, last_ts=69000, value=18.666666666666668, key=1171}
{first_ts=69000, last_ts=70000, value=35.5, key=726}
{first_ts=70000, last_ts=71000, value=30.5, key=1037}
{first_ts=71000, last_ts=72000, value=27.5, key=955}
{first_ts=72000, last_ts=73000, value=24.0, key=890}
{first_ts=70000, last_ts=74000, value=37.6, key=833}
{first_ts=74000, last_ts=75000, value=30.5, key=949}
{first_ts=75000, last_ts=76000, value=31.5, key=1182}
{first_ts=74000, last_ts=77000, value=18.25, key=1164}
{first_ts=61000, last_ts=78000, value=18.166666666666668, key=1430}
{first_ts=77000, last_ts=78000, value=29.0, key=1192}
