SpeedAggregateInterval(start: 53000, end: 60000, value: 67.0, value description: avg, key: 345)
SpeedAggregateInterval(start: 64000, end: 67000, value: 67.0, value description: avg, key: 277)
SpeedAggregateInterval(start: 67000, end: 68000, value: 67.5, value description: avg, key: 848)
SpeedAggregateInterval(start: 64000, end: 69000, value: 67.0, value description: avg, key: 544)
SpeedAggregateInterval(start: 63000, end: 69000, value: 67.0, value description: avg, key: 388)
SpeedAggregateInterval(start: 56000, end: 69000, value: 67.85714285714286, value description: avg, key: 495)
SpeedAggregateInterval(start: 62000, end: 70000, value: 67.0, value description: avg, key: 488)
SpeedAggregateInterval(start: 61000, end: 71000, value: 67.0, value description: avg, key: 190)
SpeedAggregateInterval(start: 70000, end: 72000, value: 67.0, value description: avg, key: 460)
SpeedAggregateInterval(start: 70000, end: 72000, value: 67.33333333333333, value description: avg, key: 425)
SpeedAggregateInterval(start: 68000, end: 73000, value: 67.0, value description: avg, key: 846)
SpeedAggregateInterval(start: 73000, end: 74000, value: 67.0, value description: avg, key: 430)
SpeedAggregateInterval(start: 67000, end: 74000, value: 67.0, value description: avg, key: 751)
SpeedAggregateInterval(start: 70000, end: 74000, value: 67.4, value description: avg, key: 457)
SpeedAggregateInterval(start: 59000, end: 76000, value: 67.0, value description: avg, key: 513)
SpeedAggregateInterval(start: 73000, end: 76000, value: 67.25, value description: avg, key: 841)
SpeedAggregateInterval(start: 64000, end: 77000, value: 67.14285714285714, value description: avg, key: 241)
SpeedAggregateInterval(start: 71000, end: 77000, value: 67.0, value description: avg, key: 267)
SpeedAggregateInterval(start: 76000, end: 79000, value: 67.25, value description: avg, key: 446)
SpeedAggregateInterval(start: 78000, end: 80000, value: 67.0, value description: avg, key: 992)
SpeedAggregateInterval(start: 79000, end: 80000, value: 67.0, value description: avg, key: 464)
SpeedAggregateInterval(start: 51000, end: 81000, value: 67.0, value description: avg, key: 216)
SpeedAggregateInterval(start: 38000, end: 82000, value: 67.0, value description: avg, key: 114)
SpeedAggregateInterval(start: 51000, end: 82000, value: 67.0, value description: avg, key: 330)
SpeedAggregateInterval(start: 47000, end: 82000, value: 67.0, value description: avg, key: 211)
SpeedAggregateInterval(start: 80000, end: 82000, value: 67.0, value description: avg, key: 989)
SpeedAggregateInterval(start: 64000, end: 83000, value: 67.55, value description: avg, key: 319)
SpeedAggregateInterval(start: 79000, end: 83000, value: 67.4, value description: avg, key: 1005)
SpeedAggregateInterval(start: 79000, end: 83000, value: 67.0, value description: avg, key: 864)
SpeedAggregateInterval(start: 52000, end: 84000, value: 67.0, value description: avg, key: 169)
SpeedAggregateInterval(start: 41000, end: 84000, value: 67.0, value description: avg, key: 194)
SpeedAggregateInterval(start: 84000, end: 85000, value: 67.0, value description: avg, key: 330)
SpeedAggregateInterval(start: 70000, end: 85000, value: 67.1875, value description: avg, key: 462)
SpeedAggregateInterval(start: 80000, end: 85000, value: 67.0, value description: avg, key: 759)
SpeedAggregateInterval(start: 74000, end: 86000, value: 67.0, value description: avg, key: 377)
SpeedAggregateInterval(start: 82000, end: 86000, value: 67.0, value description: avg, key: 1128)
SpeedAggregateInterval(start: 81000, end: 87000, value: 67.0, value description: avg, key: 535)
SpeedAggregateInterval(start: 86000, end: 87000, value: 67.0, value description: avg, key: 607)
SpeedAggregateInterval(start: 76000, end: 87000, value: 67.66666666666667, value description: avg, key: 849)
SpeedAggregateInterval(start: 81000, end: 87000, value: 67.57142857142857, value description: avg, key: 820)
SpeedAggregateInterval(start: 78000, end: 87000, value: 67.9, value description: avg, key: 660)
SpeedAggregateInterval(start: 78000, end: 88000, value: 67.0, value description: avg, key: 583)
SpeedAggregateInterval(start: 48000, end: 88000, value: 67.04878048780488, value description: avg, key: 152)
SpeedAggregateInterval(start: 87000, end: 88000, value: 68.0, value description: avg, key: 1028)
SpeedAggregateInterval(start: 85000, end: 88000, value: 67.0, value description: avg, key: 762)
SpeedAggregateInterval(start: 79000, end: 89000, value: 67.0, value description: avg, key: 544)
SpeedAggregateInterval(start: 76000, end: 89000, value: 67.0, value description: avg, key: 990)
SpeedAggregateInterval(start: 76000, end: 89000, value: 67.07142857142857, value description: avg, key: 648)
SpeedAggregateInterval(start: 51000, end: 90000, value: 67.0, value description: avg, key: 208)
SpeedAggregateInterval(start: 59000, end: 90000, value: 67.0, value description: avg, key: 373)
SpeedAggregateInterval(start: 54000, end: 90000, value: 67.0, value description: avg, key: 265)
SpeedAggregateInterval(start: 69000, end: 90000, value: 67.4090909090909, value description: avg, key: 765)
SpeedAggregateInterval(start: 84000, end: 90000, value: 67.0, value description: avg, key: 798)
SpeedAggregateInterval(start: 60000, end: 91000, value: 67.0, value description: avg, key: 518)
SpeedAggregateInterval(start: 82000, end: 91000, value: 67.7, value description: avg, key: 870)
SpeedAggregateInterval(start: 90000, end: 91000, value: 67.0, value description: avg, key: 964)
SpeedAggregateInterval(start: 67000, end: 91000, value: 67.0, value description: avg, key: 296)
SpeedAggregateInterval(start: 76000, end: 91000, value: 67.0, value description: avg, key: 656)
SpeedAggregateInterval(start: 67000, end: 91000, value: 67.0, value description: avg, key: 187)
SpeedAggregateInterval(start: 78000, end: 91000, value: 67.0, value description: avg, key: 724)
SpeedAggregateInterval(start: 78000, end: 92000, value: 67.0, value description: avg, key: 823)
SpeedAggregateInterval(start: 85000, end: 92000, value: 67.75, value description: avg, key: 752)
